year,Jan.,Feb.,Mar.,Apr.,May,Jun.,Jul.,Aug.,Sep.,Oct.,Nov.,Dec.
1990,92.1,84.8,92.4,87.1,86.1,149.5,145.9,97.4,85.7,85.5,88.5,236.7
1991,90.2,85.8,93.6,87.8,86.5,151.5,147.2,100.8,86.9,86.2,89.6,240.6
1992,93.2,86.8,94.6,88.0,87.2,152.5,150.1,99.8,86.6,87.0,90.5,236.9
1993,92.4,86.8,93.8,88.5,87.6,151.0,145.1,99.2,87.0,87.0,91.6,231.0
1994,94.1,87.3,93.9,89.7,88.5,160.8,140.9,99.0,88.8,88.5,92.5,231.5
1995,95.2,89.2,96.4,91.2,89.7,158.8,145.0,100.0,90.2,90.4,94.1,233.7
1996,96.0,91.0,98.3,92.6,91.0,160.3,145.1,103.5,91.4,91.3,96.1,232.4
1997,101.8,92.2,99.5,92.7,90.8,158.1,145.7,102.1,90.1,90.2,94.0,229.8
1998,99.1,90.2,97.7,91.8,89.8,157.6,142.3,100.3,89.7,90.0,93.3,219.0
1999,95.6,89.7,97.6,91.8,90.0,152.7,139.0,99.4,90.2,90.4,94.4,216.0
2000,97.5,91.1,97.3,92.8,91.0,156.6,138.8,100.5,91.6,92.1,95.5,214.5
2001,98.5,90.8,97.3,93.4,91.2,155.9,139.0,98.8,91.2,91.4,95.1,208.9
2002,95.7,90.9,97.5,92.3,90.0,151.1,132.0,96.6,90.5,91.5,94.2,202.9
2003,94.9,91.0,96.4,91.6,90.5,154.8,129.5,94.8,90.6,91.1,94.2,199.9
2004,93.5,90.7,93.8,92.3,90.5,151.9,128.9,95.0,90.0,90.0,95.1,198.2
2005,93.6,91.0,93.3,92.7,91.0,155.0,131.1,94.4,91.1,91.5,96.4,203.0
2006,93.5,91.4,94.0,93.1,91.3,155.6,130.8,93.2,90.4,90.9,96.3,201.9
2007,92.4,90.6,93.8,92.8,90.9,154.1,128.2,93.6,89.8,90.2,95.2,195.4
2008,92.5,90.3,93.4,92.0,89.8,150.3,124.3,90.8,87.2,88.0,92.9,191.7
2009,90.0,88.1,90.1,89.6,88.5,142.4,120.4,90.8,87.8,88.8,92.6,183.6
2010,90.7,87.9,91.6,91.7,89.2,146.1,123.2,92.0,89.4,89.3,92.9,184.3
2011,91.5,88.5,91.9,90.7,90.3,145.5,122.5,91.4,89.0,89.3,93.2,184.7
2012,90.2,88.4,92.0,90.3,89.0,145.0,121.1,91.6,88.6,89.2,92.2,181.0
2013,90.3,87.9,91.8,90.7,88.8,144.7,119.4,89.4,86.8,87.4,90.7,177.8
2014,88.3,85.8,90.4,87.3,85.3,139.5,116.8,86.5,83.8,84.4,87.9,174.4
2015,86.2,83.6,88.0,87.2,85.3,135.3,117.5,86.6,84.2,84.7,87.6,174.0
2016,86.2,84.0,89.2,87.5,85.6,137.7,119.4,87.1,84.7,84.7,87.5,174.1
2017,86.1,84.0,88.9,87.5,85.6,137.6,118.1,87.0,84.6,84.6,87.6,173.5
